date,close,change,change_percent,direction
2019-07-01,10624.93,-229.17,-2.1114,down
2019-07-02,10842.85,217.92,2.0510,up
2019-07-03,11940.00,1097.15,10.1186,up
2019-07-04,11145.67,-794.33,-6.6527,down
2019-07-05,10970.73,-174.94,-1.5696,down
2019-07-06,11256.49,285.76,2.6047,up
2019-07-07,11406.24,149.75,1.3303,up
2019-07-08,12238.60,832.36,7.2974,up
2019-07-09,12543.41,304.81,2.4906,up
2019-07-10,12108.37,-435.04,-3.4683,down
2019-07-11,11342.89,-765.48,-6.3219,down
2019-07-12,11757.22,414.33,3.6528,up
2019-07-13,11355.76,-401.46,-3.4146,down
2019-07-14,10174.18,-1181.58,-10.4051,down
2019-07-15,10838.72,664.54,6.5316,up
2019-07-16,9439.59,-1399.13,-12.9086,down
2019-07-17,9667.92,228.33,2.4189,up
2019-07-18,10627.16,959.24,9.9219,up
2019-07-19,10504.29,-122.87,-1.1562,down
2019-07-20,10740.23,235.94,2.2461,up
2019-07-21,10589.45,-150.78,-1.4039,down
2019-07-22,10340.31,-249.14,-2.3527,down
2019-07-23,9864.91,-475.40,-4.5975,down
2019-07-24,9763.28,-101.63,-1.0302,down
2019-07-25,9879.87,116.59,1.1942,up
2019-07-26,9824.00,-55.87,-0.5655,down
2019-07-27,9476.52,-347.48,-3.5371,down
2019-07-28,9541.54,65.02,0.6861,up
2019-07-29,9507.64,-33.90,-0.3553,down
2019-07-30,9574.21,66.57,0.7002,up
2019-07-31,10080.53,506.32,5.2884,up
2019-08-01,10374.99,294.46,2.9211,up
2019-08-02,10523.75,148.76,1.4338,up
2019-08-03,10816.86,293.11,2.7852,up
2019-08-04,10929.23,112.37,1.0388,up
2019-08-05,11828.80,899.57,8.2309,up
2019-08-06,11481.69,-347.11,-2.9344,down
2019-08-07,11975.03,493.34,4.2968,up
2019-08-08,11999.77,24.74,0.2066,up
2019-08-09,11879.99,-119.78,-0.9982,down
2019-08-10,11309.31,-570.68,-4.8037,down
2019-08-11,11549.97,240.66,2.1280,up
2019-08-12,11396.08,-153.89,-1.3324,down
2019-08-13,10892.71,-503.37,-4.4170,down
2019-08-14,10050.37,-842.34,-7.7331,down
2019-08-15,10293.93,243.56,2.4234,up
2019-08-16,10331.54,37.61,0.3654,up
2019-08-17,10216.02,-115.52,-1.1181,down
2019-08-18,10306.78,90.76,0.8884,up
2019-08-19,10915.54,608.76,5.9064,up
2019-08-20,10760.51,-155.03,-1.4203,down
2019-08-21,10142.57,-617.94,-5.7427,down
2019-08-22,10099.88,-42.69,-0.4209,down
2019-08-23,10389.55,289.67,2.8681,up
2019-08-24,10134.35,-255.20,-2.4563,down
2019-08-25,10142.69,8.34,0.0823,up
2019-08-26,10372.25,229.56,2.2633,up
2019-08-27,10185.05,-187.20,-1.8048,down
2019-08-28,9721.00,-464.05,-4.5562,down
2019-08-29,9498.44,-222.56,-2.2895,down
2019-08-30,9584.54,86.10,0.9065,up
2019-08-31,9587.47,2.93,0.0306,up
2019-09-01,9724.98,137.51,1.4343,up
2019-09-02,10340.00,615.02,6.3241,up
2019-09-03,10615.28,275.28,2.6623,up
2019-09-04,10567.02,-48.26,-0.4546,down
2019-09-05,10564.49,-2.53,-0.0239,down
2019-09-06,10298.73,-265.76,-2.5156,down
